column,family,null_frac,null_frac_fraud,null_frac_legit,diff_fraud_minus_legit
id_24,identity,0.9919615944728554,0.980544935391763,0.9923755477059085,-0.011830612314145506
id_25,identity,0.9913096487960172,0.9798190001451871,0.9917262847947891,-0.011907284649602001
id_07,identity,0.9912707013919464,0.9793834389972415,0.991701718090044,-0.012318279092802586
id_08,identity,0.9912707013919464,0.9793834389972415,0.991701718090044,-0.012318279092802586
id_21,identity,0.9912639279303688,0.9793834389972415,0.9916946990315454,-0.012311260034303939
id_26,identity,0.9912571544687913,0.9794318346803466,0.9916859252084221,-0.012254090528075579
id_22,identity,0.9912469942764249,0.9793834389972415,0.9916771513852989,-0.012293712388057432
id_27,identity,0.9912469942764249,0.9793834389972415,0.9916771513852989,-0.012293712388057432
id_23,identity,0.9912469942764249,0.9793834389972415,0.9916771513852989,-0.012293712388057432
dist2,distance,0.9362837403054831,0.819435706334995,0.9405204982829628,-0.12108479194796784
D7,time deltas,0.9340992989467267,0.7197889948216619,0.9418699122793164,-0.22208091745765446
id_18,identity,0.9236072069631185,0.8192421236025746,0.9273913493613534,-0.10814922575877872
D13,time deltas,0.8950926270870728,0.6691187146106568,0.9032861477125765,-0.2341674331019198
D14,time deltas,0.8946946862193924,0.6509219377631515,0.9035335695246518,-0.25261163176150025
D12,time deltas,0.8904104717715988,0.6322895997677007,0.8997695994047838,-0.26747999963708313
id_04,identity,0.8876892335828225,0.6558099017567633,0.8960968770453975,-0.24028697528863419
id_03,identity,0.8876892335828225,0.6558099017567633,0.8960968770453975,-0.24028697528863419
D6,time deltas,0.8760676668811597,0.6264821177950927,0.8851173147889808,-0.25863519699388815
id_33,identity,0.8758949436109323,0.8372453177176595,0.8772963288569288,-0.04005101113926923
D9,time deltas,0.8731229044603245,0.6212069883366403,0.8822570484508061,-0.26105006011416576
D8,time deltas,0.8731229044603245,0.6212069883366403,0.8822570484508061,-0.26105006011416576
id_10,identity,0.8731229044603245,0.6212069883366403,0.8822570484508061,-0.26105006011416576
id_09,identity,0.8731229044603245,0.6212069883366403,0.8822570484508061,-0.26105006011416576
id_30,identity,0.868654113184543,0.8334220587523593,0.869931581727285,-0.03650952297492571
id_32,identity,0.8686185525112609,0.8329864976044137,0.8699105245517893,-0.03692402694737562
id_34,identity,0.8682477054898906,0.8313410443788414,0.8695858930962296,-0.0382448487173882
id_14,identity,0.8644562603718631,0.8267918501669651,0.8658219229763615,-0.03903007280939641
V138,vesta,0.8612371727571375,0.8233557566665054,0.8626107037132574,-0.03925494704675203
V157,vesta,0.8612371727571375,0.8233557566665054,0.8626107037132574,-0.03925494704675203
V163,vesta,0.8612371727571375,0.8233557566665054,0.8626107037132574,-0.03925494704675203
V162,vesta,0.8612371727571375,0.8233557566665054,0.8626107037132574,-0.03925494704675203
V140,vesta,0.8612371727571375,0.8233557566665054,0.8626107037132574,-0.03925494704675203
